id,address,match_type,suburb_name,sa2_code
1332,"104/53 Cook Street, Auckland Central, Auckland City",no_match,,
2309,"104/80 Anzac Street, Takapuna, North Shore City",containment_match,Takapuna West,126601
2136,"1040 Great North Road, Point Chevalier, Auckland City",containment_match,Point Chevalier West,129201
2369,"104A Moire Road, West Harbour, Waitakere City",containment_match,West Harbour West,119800
1737,"105 Annandale Road, Kumeu, Rodney",containment_match,Kumeū Rural East,116101
1241,"105 Oliver Road, Eastern Beach, Manukau City",containment_match,Eastern Beach,148000
1249,"105 Queen Street, Auckland Central, Auckland City",no_match,,
3284,"105 Queen Street, Auckland Central, Auckland City",no_match,,
1816,"105 Queen Street, Auckland Central, Auckland City",no_match,,
2663,"105 Queen Street, Auckland Central, Auckland City",no_match,,
2578,"105/340 Onehunga Mall, Onehunga, Auckland City",containment_match,Onehunga West,144101
2673,"105/38B Fraser Avenue, Northcote, North Shore City",containment_match,Northcote,320501
381,"105/428 Dominion Road, Mount Eden, Auckland City",containment_match,Mount Eden West,138400
2810,"105B Beach Road, Mellons Bay, Manukau City",containment_match,Mellons Bay,150600
907,"106 Andrews Road, Onewhero, Franklin",containment_match,Onewhero,170101
662,"106 Clovelly Road, Bucklands Beach, Manukau City",containment_match,Buckland,166200
3207,"106 Solan Drive, Waimauku, Rodney",containment_match,Waimauku,114201
619,"106/3 Potiki Place, Glen Innes, Auckland City",containment_match,Glen Innes West,144700
1104,"107 & 113 John Main Drive, Ramarama, Franklin",containment_match,Mara,233900
2340,"107 Gordon Road, Pollok, Franklin",no_match,,
3130,"107 Maryvale Road, Milldale, Rodney",containment_match,Milldale,113401
3955,"107 Mount Wellington Highway, Mount Wellington, Auckland City",containment_match,Mount Wellington East,146501
3964,"107 Oreil Avenue, West Harbour, Waitakere City",containment_match,West Harbour West,119800
599,"107 Whitney Street, New Windsor, Auckland City",containment_match,Windsor,361501
1523,"107/1 Greys Ave, Auckland Central, Auckland City",no_match,,
514,"107A Mokoia Road, Birkenhead, North Shore City",containment_match,Birkenhead West,125201
2160,"107B Shelly Beach Road, Saint Marys Bay, Auckland City",containment_match,Saint Marys Bay,130200
1167,"108 Calliope Road, Devonport, North Shore City",containment_match,Devonport,133000
320,"108 Eversleigh Road, Belmont, North Shore City",containment_match,Belmont,129300
2547,"108 Wheturangi Road, Greenlane, Auckland City",containment_match,Greenlane South,143800
963,"108/9C Jordan Avenue, Onehunga, Auckland City",containment_match,Onehunga West,144101
1773,"1082 Sandspit Road, Sandspit, Rodney",containment_match,Sandspit,111400
732,"108a Valley Road, Pukekohe, Franklin",containment_match,Pukekohe West,165501
199,"109 Glenmore Road, Coatesville, Rodney",containment_match,Coatesville,115501
33,"109 Okura River Road, Okura, North Shore City",containment_match,Ōkura Bush,114801
789,"109 Sandspit Road, Shelly Park, Manukau City",containment_match,Shelly Park,154300
3087,"109 Shelly Beach Road, Saint Marys Bay, Auckland City",containment_match,Saint Marys Bay,130200
